"rules","support","confidence","lift"
"{Key of Light,Key of Valor} => {Key of Knowledge}",0.00095540018239458,0.946236559139785,708.585016172742
"{Key of Knowledge,Key of Valor} => {Key of Light}",0.00095540018239458,0.926315789473684,622.781713407607
"{Four to Score,Seven Up,Three To Get Deadly : A Stephanie Plum Novel,Two for the Dough} => {High Five}",0.000911972901376645,0.96551724137931,397.01724137931
"{Four to Score,Seven Up,Three To Get Deadly : A Stephanie Plum Novel} => {High Five}",0.000998827463412516,0.948453608247423,390.000736377025
"{Four to Score,Hot Six : A Stephanie Plum Novel,Three To Get Deadly : A Stephanie Plum Novel} => {High Five}",0.00095540018239458,0.946236559139785,389.089093701997
"{Seven Up,Three To Get Deadly : A Stephanie Plum Novel,Two for the Dough} => {High Five}",0.000944543362140096,0.935483870967742,384.667626728111
"{Four to Score,Seven Up,Two for the Dough} => {High Five}",0.000922829721631129,0.934065934065934,384.084576138148
"{Hot Six : A Stephanie Plum Novel,Three To Get Deadly : A Stephanie Plum Novel} => {High Five}",0.00104225474443045,0.932038834951456,383.251040221914
"{Four to Score,One for the Money,Three To Get Deadly : A Stephanie Plum Novel,Two for the Dough} => {High Five}",0.000922829721631129,0.923913043478261,379.90974378882
"{Seven Up,Three To Get Deadly : A Stephanie Plum Novel} => {High Five}",0.0010748252051939,0.916666666666667,376.93005952381
"{Four to Score,Seven Up} => {High Five}",0.00109653884570287,0.90990990990991,374.151705276705
"{Four to Score,Three To Get Deadly : A Stephanie Plum Novel,Two for the Dough} => {High Five}",0.00108568202544839,0.909090909090909,373.814935064935
"{Hard Eight : A Stephanie Plum Novel,Three To Get Deadly : A Stephanie Plum Novel} => {High Five}",0.000944543362140096,0.90625,372.646763392857
"{Four to Score,Hot Six : A Stephanie Plum Novel} => {High Five}",0.0010748252051939,0.9,370.076785714286
"{High Five,Seven Up,Three To Get Deadly : A Stephanie Plum Novel,Two for the Dough} => {Four to Score}",0.000911972901376645,0.96551724137931,365.974741024549
"{Four to Score,High Five,Seven Up,Two for the Dough} => {Three To Get Deadly : A Stephanie Plum Novel}",0.000911972901376645,0.988235294117647,362.646918209515
"{Seven Up,Three To Get Deadly : A Stephanie Plum Novel,Two for the Dough} => {Four to Score}",0.000944543362140096,0.935483870967742,354.590734103279
"{Four to Score,High Five,One for the Money,Two for the Dough} => {Three To Get Deadly : A Stephanie Plum Novel}",0.000922829721631129,0.965909090909091,354.454002173126
"{Four to Score,High Five,Two for the Dough} => {Three To Get Deadly : A Stephanie Plum Novel}",0.00108568202544839,0.961538461538462,352.850137909899
"{High Five,Seven Up,Three To Get Deadly : A Stephanie Plum Novel} => {Four to Score}",0.000998827463412516,0.929292929292929,352.244086960136
"{Four to Score,Seven Up,Two for the Dough} => {Three To Get Deadly : A Stephanie Plum Novel}",0.000944543362140096,0.956043956043956,350.833851407557
"{High Five,Seven Up,Two for the Dough} => {Four to Score}",0.000922829721631129,0.923913043478261,350.204866702451
"{High Five,One for the Money,Two for the Dough} => {Three To Get Deadly : A Stephanie Plum Novel}",0.001009684283667,0.948979591836735,348.241483047402
"{High Five,Three To Get Deadly : A Stephanie Plum Novel,Two for the Dough} => {Four to Score}",0.00108568202544839,0.917431192660551,347.747951825424
"{High Five,Hot Six : A Stephanie Plum Novel,Three To Get Deadly : A Stephanie Plum Novel} => {Four to Score}",0.00095540018239458,0.916666666666667,347.458161865569
"{High Five,Seven Up,Two for the Dough} => {Three To Get Deadly : A Stephanie Plum Novel}",0.000944543362140096,0.945652173913043,347.020439979214
"{High Five,One for the Money,Three To Get Deadly : A Stephanie Plum Novel,Two for the Dough} => {Four to Score}",0.000922829721631129,0.913978494623656,346.439222974468
"{Hot Six : A Stephanie Plum Novel,Three To Get Deadly : A Stephanie Plum Novel} => {Four to Score}",0.001009684283667,0.902912621359223,342.244756082944
"{Four to Score,High Five,Seven Up} => {Three To Get Deadly : A Stephanie Plum Novel}",0.000998827463412516,0.910891089108911,334.264368269496
"{Four to Score,High Five,One for the Money} => {Three To Get Deadly : A Stephanie Plum Novel}",0.00102054110392148,0.903846153846154,331.679129635305
"{Four to Score,One for the Money,Two for the Dough} => {Three To Get Deadly : A Stephanie Plum Novel}",0.000998827463412516,0.901960784313726,330.987266619795
"{High Five,Two for the Dough} => {Three To Get Deadly : A Stephanie Plum Novel}",0.00118339340773874,0.900826446280992,330.571005235257
"{Four to Score,High Five,Seven Up,Three To Get Deadly : A Stephanie Plum Novel} => {Two for the Dough}",0.000911972901376645,0.91304347826087,290.998646005717
"{Four to Score,High Five,One for the Money,Three To Get Deadly : A Stephanie Plum Novel} => {Two for the Dough}",0.000922829721631129,0.904255319148936,288.19774718398
"{The Fellowship of the Ring,The Return of the King} => {The Two Towers}",0.00158509575715464,0.906832298136646,285.073410637441
"{Harry Potter and the Order of the Phoenix,Harry Potter and the Prisoner of Azkaban,Harry Potter and the Sorcerer's Stone} => {Harry Potter and the Goblet of Fire}",0.00123767750901116,0.942148760330578,222.511379529561
"{Harry Potter and the Chamber of Secrets,Harry Potter and the Order of the Phoenix,Harry Potter and the Prisoner of Azkaban,Harry Potter and the Sorcerer's Stone} => {Harry Potter and the Goblet of Fire}",0.00119425022799323,0.94017094017094,222.044269121192
"{Harry Potter and the Chamber of Secrets,Harry Potter and the Order of the Phoenix,Harry Potter and the Prisoner of Azkaban} => {Harry Potter and the Goblet of Fire}",0.00130281843053806,0.923076923076923,218.007100591716
"{Harry Potter and the Chamber of Secrets,Harry Potter and the Goblet of Fire,Harry Potter and the Order of the Phoenix,Harry Potter and the Sorcerer's Stone} => {Harry Potter and the Prisoner of Azkaban}",0.00119425022799323,0.964912280701754,197.064612751391
"{Harry Potter and the Goblet of Fire,Harry Potter and the Order of the Phoenix,Harry Potter and the Sorcerer's Stone} => {Harry Potter and the Prisoner of Azkaban}",0.00123767750901116,0.95,194.019068736142
"{Harry Potter and the Chamber of Secrets,Harry Potter and the Goblet of Fire,Harry Potter and the Order of the Phoenix} => {Harry Potter and the Prisoner of Azkaban}",0.00130281843053806,0.9375,191.466186252772
